Date : 2025-03-05 19:08:08
Directory : d:\pkr_study\08-力扣\codes
Total : 292 files,  9106 codes, 2254 comments, 1659 blanks, all 13019 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
| d:\pkr_study\08-力扣\codes\b\b148-最大子数组和.java                             | Java     |         12 |          0 |          1 |         13 |
| d:\pkr_study\08-力扣\codes\b\b149-环形子数组的最大和.java                          | Java     |         28 |          0 |          3 |         31 |
| d:\pkr_study\08-力扣\codes\b\b15-打家劫舍.py                                  | Python   |         22 |          5 |          4 |         31 |
| d:\pkr_study\08-力扣\codes\b\b150-搜索二维矩阵.java                             | Java     |         18 |         13 |          1 |         32 |
| d:\pkr_study\08-力扣\codes\b\b151-寻找峰值.java                               | Java     |         16 |          0 |          0 |         16 |
| d:\pkr_study\08-力扣\codes\b\b152-搜索旋转排序数组.java                           | Java     |         27 |          0 |          1 |         28 |
| d:\pkr_study\08-力扣\codes\b\b153-在排序数组中查找元素的第一个和最后一个位置.java              | Java     |         40 |          0 |          3 |         43 |
| d:\pkr_study\08-力扣\codes\b\b154-寻找旋转排序数组中的最小值.java                      | Java     |         17 |          0 |          0 |         17 |
| d:\pkr_study\08-力扣\codes\b\b155-数组中的第K个最大元素.java                        | Java     |         38 |          0 |          3 |         41 |
| d:\pkr_study\08-力扣\codes\b\b156-查找和最小的K对数字.java                         | Java     |         22 |          0 |          1 |         23 |
| d:\pkr_study\08-力扣\codes\b\b157-只出现一次的数字II.java                         | Java     |         10 |          0 |          0 |         10 |
| d:\pkr_study\08-力扣\codes\b\b158-数字范围按位与.java                            | Java     |         18 |          0 |          0 |         18 |
| d:\pkr_study\08-力扣\codes\b\b159-阶乘后的零.java                              | Java     |         15 |          0 |          2 |         17 |
| d:\pkr_study\08-力扣\codes\b\b16-回文子串数量.py                                | Python   |         37 |         31 |          6 |         74 |
| d:\pkr_study\08-力扣\codes\b\b160-Pow(x, n).java                          | Java     |         28 |         12 |          3 |         43 |
| d:\pkr_study\08-力扣\codes\b\b161-打家劫舍.java                               | Java     |         15 |          0 |          2 |         17 |
| d:\pkr_study\08-力扣\codes\b\b162-单词拆分.java                               | Java     |         35 |          0 |          3 |         38 |
| d:\pkr_study\08-力扣\codes\b\b163-零钱兑换.java                               | Java     |         19 |          0 |          1 |         20 |
| d:\pkr_study\08-力扣\codes\b\b164-最长递增子序列.java                            | Java     |         28 |         16 |          2 |         46 |
| d:\pkr_study\08-力扣\codes\b\b165-三角形最小路径和.java                           | Java     |         23 |         19 |          3 |         45 |
| d:\pkr_study\08-力扣\codes\b\b166-最小路径和.java                              | Java     |         22 |         21 |          4 |         47 |
| d:\pkr_study\08-力扣\codes\b\b167-不同路径II.java                             | Java     |         23 |          0 |          0 |         23 |
| d:\pkr_study\08-力扣\codes\b\b168-最长回文子串.java                             | Java     |         30 |          0 |          1 |         31 |
| d:\pkr_study\08-力扣\codes\b\b169-交错字符串.java                              | Java     |         26 |          0 |          2 |         28 |
| d:\pkr_study\08-力扣\codes\b\b17-二叉树展开为链表.py                              | Python   |         31 |         17 |          8 |         56 |
| d:\pkr_study\08-力扣\codes\b\b170-编辑距离.java                               | Java     |         22 |          0 |          2 |         24 |
| d:\pkr_study\08-力扣\codes\b\b171-最大正方形.java                              | Java     |         23 |          0 |          0 |         23 |
| d:\pkr_study\08-力扣\codes\b\b18-最小路径和.py                                 | Python   |         28 |          0 |          5 |         33 |
| d:\pkr_study\08-力扣\codes\b\b19-零钱兑换.py                                  | Python   |         27 |         30 |          8 |         65 |
| d:\pkr_study\08-力扣\codes\b\b20-有效的数独.py                                 | Python   |         55 |          3 |          5 |         63 |
| d:\pkr_study\08-力扣\codes\b\b21-下一个排列.py                                 | Python   |         47 |         25 |          8 |         80 |
| d:\pkr_study\08-力扣\codes\b\b22-数组中的第K个最大元素.py                           | Python   |         35 |          5 |          7 |         47 |
| d:\pkr_study\08-力扣\codes\b\b23-旋转图像.py                                  | Python   |         33 |          5 |          5 |         43 |
| d:\pkr_study\08-力扣\codes\b\b24-根据身高重建队列.py                              | Python   |         26 |          0 |          5 |         31 |
| d:\pkr_study\08-力扣\codes\b\b25-目标和.py                                   | Python   |         35 |         21 |          7 |         63 |
| d:\pkr_study\08-力扣\codes\b\b26-最小栈.py                                   | Python   |         39 |          1 |         11 |         51 |
| d:\pkr_study\08-力扣\codes\b\b27-把二叉搜索树转换为累加树.py                          | Python   |         40 |         14 |          7 |         61 |
| d:\pkr_study\08-力扣\codes\b\b28-三数之和.py                                  | Python   |         39 |         63 |          6 |        108 |
| d:\pkr_study\08-力扣\codes\b\b29-最长递增子序列.py                               | Python   |         24 |          1 |          4 |         29 |
| d:\pkr_study\08-力扣\codes\b\b30-单词拆分.py                                  | Python   |         25 |         18 |          7 |         50 |
| d:\pkr_study\08-力扣\codes\b\b31-删除链表的倒数第N个结点.py                          | Python   |         46 |          3 |          8 |         57 |
| d:\pkr_study\08-力扣\codes\b\b32-组合总和.py                                  | Python   |         41 |          3 |          4 |         48 |
| d:\pkr_study\08-力扣\codes\b\b33-不同的二叉搜索树.py                              | Python   |         25 |          0 |          5 |         30 |
| d:\pkr_study\08-力扣\codes\b\b34-盛最多水的容器.py                               | Python   |         30 |          0 |          7 |         37 |
| d:\pkr_study\08-力扣\codes\b\b35-电话号码的字母组合.py                             | Python   |         52 |          0 |          5 |         57 |
| d:\pkr_study\08-力扣\codes\b\b36-搜索旋转排序数组.py                              | Python   |         45 |          2 |          5 |         52 |
| d:\pkr_study\08-力扣\codes\b\b37-在排序数组中查找元素的第一个和最后一个位置.py                 | Python   |         39 |          0 |          6 |         45 |
| d:\pkr_study\08-力扣\codes\b\b38-从前序与中序遍历序列构造二叉树.py                       | Python   |         30 |          1 |          4 |         35 |
| d:\pkr_study\08-力扣\codes\b\b39-和为K的子数组.py                               | Python   |         32 |         29 |          5 |         66 |
| d:\pkr_study\08-力扣\codes\b\b40-分割等和子集.py                                | Python   |         24 |         11 |          7 |         42 |
| d:\pkr_study\08-力扣\codes\b\b41-路径总和 III.py                              | Python   |         53 |         10 |         16 |         79 |
| d:\pkr_study\08-力扣\codes\b\b42-买卖股票的最佳时机.py                             | Python   |         16 |         10 |          3 |         29 |
| d:\pkr_study\08-力扣\codes\b\b43-二叉树的最近公共祖先.py                            | Python   |         62 |         20 |          8 |         90 |
| d:\pkr_study\08-力扣\codes\b\b44-每日温度.py                                  | Python   |         19 |         18 |          6 |         43 |
| d:\pkr_study\08-力扣\codes\b\b45-最长连续序列.py                                | Python   |         22 |          4 |          4 |         30 |
| d:\pkr_study\08-力扣\codes\b\b46-单词搜索.py                                  | Python   |         37 |          4 |          7 |         48 |
| d:\pkr_study\08-力扣\codes\b\b47-实现前缀树.py                                 | Python   |         49 |         12 |         11 |         72 |
| d:\pkr_study\08-力扣\codes\b\b48-寻找重复数.py                                 | Python   |         24 |          6 |          4 |         34 |
| d:\pkr_study\08-力扣\codes\b\b49-课程表.py                                   | Python   |         31 |         53 |          9 |         93 |
| d:\pkr_study\08-力扣\codes\b\b50-除自身以外数组的乘积.py                            | Python   |         26 |         14 |          6 |         46 |
